id,X,Y,Heart Rate,Solar Intensity,Noise,Cars,Pedestrains,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,Altitudes
25,103.7701963,1.300080844,122.0,7129.0,63.7,0.0,0.0,0.054574966,0.000211716,0.0,0.010133108,0.0,0.000175476,0.171681086,0.034809113,0.329058965,43.2
26,103.7702367,1.300190106,123.0,8326.0,63.0,0.0,0.0,0.051813761,0.000265121,0.001030604,0.003969193,0.0,0.000528336,0.484867732,0.05780983,0.057120641,42.8
27,103.7702866,1.300306494,120.0,8228.0,62.6,0.0,0.0,0.083207448,2.54e-06,0.000424067,0.006574631,0.0,0.000961939,0.185211182,0.034211477,0.279876709,40.4
28,103.7703365,1.300446635,116.0,8160.0,62.6,0.0,0.0,0.099266688,0.000118891,0.000258128,0.005901337,0.0,6.36e-07,0.276187261,0.042919795,0.221542994,40.8
29,103.7704054,1.300608153,120.0,8785.0,62.1,0.0,0.0,0.104991913,0.0,0.00702858,0.008781433,0.0,0.000693003,0.247656504,0.011217117,0.207845052,45.5
30,103.7704814,1.300743544,118.0,8950.0,61.6,0.0,0.0,0.062028885,5.72e-06,0.000650406,0.005051931,0.0,0.000390371,0.411547343,0.037911097,0.105206807,45.0
31,103.7706145,1.300821928,117.0,8672.0,61.8,0.0,0.0,0.031062444,9.54e-06,0.000235875,0.006933212,0.0,8.65e-05,0.467112859,0.047224045,0.070656459,44.1
32,103.7707475,1.300776797,118.0,9118.0,62.5,0.0,0.0,0.045069377,0.0,8.27e-06,0.004010518,1.14e-05,0.001621246,0.168397903,0.03178215,0.334634781,44.0
33,103.7707879,1.300698414,118.0,8615.0,61.3,0.0,0.0,0.102378209,0.000501633,0.001282374,0.009169261,0.0,0.004673004,0.114917119,0.048863093,0.305182775,44.0
34,103.7709495,1.300712665,116.0,8270.0,61.5,1.0,0.0,0.226619085,4.45e-06,8.9e-05,0.004142125,0.0,0.000337601,0.13617897,0.002483368,0.185797373,44.3
35,103.7710849,1.300658034,117.0,8580.0,60.9,0.0,0.0,0.231003443,0.0,6.36e-07,0.003442128,0.0,7.5e-05,0.183865865,0.025989532,0.024337769,44.5
36,103.7712108,1.300603403,115.0,8002.0,60.3,0.0,0.0,0.227453232,6.36e-07,0.0,0.004947027,0.0,2.03e-05,0.132384618,0.011865616,0.235733032,43.9
37,103.7713653,1.300553522,116.0,7104.0,60.4,0.0,0.0,0.12130928,0.001255671,8.2e-05,0.004921595,0.0,0.000176748,0.168818156,0.044605891,0.233522415,43.0
38,103.7715244,1.300496516,113.0,6628.0,61.1,0.0,0.0,0.188144684,0.026712418,4.45e-05,0.002674739,0.0,1.91e-05,0.118123372,0.015811284,0.232119878,42.0
39,103.7717668,1.300406256,113.0,6482.0,61.0,0.0,0.0,0.237284978,0.005112966,0.001874924,0.002591451,0.0,5.4e-05,0.120889664,0.010300318,0.199400584,41.9
40,103.7720115,1.300318371,112.0,5390.0,61.6,0.0,2.0,0.292569478,0.007226944,0.017820994,0.00592804,0.0,4.07e-05,0.04213206,0.007683436,0.204289754,40.4
41,103.772116,1.300194857,110.0,4356.0,61.9,0.0,0.0,0.255496343,0.000497182,0.000490189,0.008490245,0.0,0.00069809,0.04564031,0.006624222,0.228002548,41.9
42,103.7721921,1.30004284,110.0,4696.0,61.4,0.0,0.0,0.224082947,0.000130971,0.001459757,0.004688263,0.0,0.000335693,0.05023702,0.028951645,0.244442622,40.0
43,103.7722633,1.299890822,114.0,3930.0,61.0,0.0,0.0,0.369496663,0.0,0.000429153,0.005407333,0.0,0.000804901,0.034817378,0.004254023,0.128803889,39.8
44,103.7723346,1.299734055,111.0,3701.0,61.1,0.0,0.0,0.348988215,0.002562205,0.000755946,0.006085714,0.0,8.84e-05,0.045704524,0.000299454,0.166269938,42.4
45,103.7724962,1.299700801,115.0,3297.0,61.2,2.0,0.0,0.350914637,0.001917521,0.003919601,0.022571564,0.0,0.000806808,0.086439133,3.5e-05,0.16809082,42.9
46,103.7725865,1.299582037,114.0,2839.0,60.9,3.0,0.0,0.618872325,6.93e-05,0.001673381,0.003252029,0.0,0.000177383,0.086084366,0.002712886,0.111996969,43.3
47,103.7726459,1.299449022,110.0,2932.0,60.5,1.0,0.0,0.348526001,4.64e-05,0.001988093,0.003077825,0.0,0.000209808,0.111260096,0.000106812,0.125411352,45.9
48,103.7727361,1.299256626,109.0,2786.0,60.8,0.0,0.0,0.442558289,0.001820882,0.002680461,0.003288269,0.0,0.0,0.253672282,0.003241221,0.093172073,43.5
49,103.7728146,1.299064229,108.0,2869.0,61.1,0.0,0.0,0.508750916,0.004653295,0.011957804,0.003392537,0.0,0.000348409,0.154118856,0.046603521,0.053671519,45.4
50,103.7729048,1.29889796,107.0,2922.0,60.4,0.0,1.0,0.194334666,0.000325521,4.9e-05,0.011067708,0.0,1.78e-05,0.127656937,0.01372846,0.194610596,48.9
51,103.7729951,1.298745943,108.0,3413.0,61.4,0.0,1.0,0.037993113,0.0,0.0,0.00346756,0.0,0.000830332,0.351494471,0.078844706,0.288529714,45.8
52,103.7731757,1.29881245,116.0,4218.0,62.1,0.0,0.0,0.034046809,0.002031962,0.0,0.00298055,0.0,0.002811432,0.278520584,0.118233999,0.302702586,44.8
53,103.7733396,1.298881333,124.0,570.0,61.7,0.0,0.0,0.023963292,0.000765483,0.0,0.000794093,0.0,0.000123342,0.623140335,0.04788208,0.067553838,41.9
54,103.7734252,1.298753068,132.0,228.0,66.0,0.0,0.0,0.022067388,0.000254313,1.53e-05,0.000321706,0.0,8.9e-05,0.575382233,0.032131195,0.09947141,53.1
55,103.7735083,1.298608177,133.0,277.0,67.3,0.0,0.0,0.035102844,0.000484467,0.013177236,0.004507065,0.0,0.000274022,0.528738658,0.03805987,0.116183599,57.6
56,103.7735986,1.298475162,138.0,323.0,67.3,0.0,0.0,0.274876912,0.00021108,0.005651474,0.001448313,0.0,0.0,0.402570724,0.020907084,0.021506627,68.7
57,103.7736817,1.298377776,130.0,1456.0,67.3,0.0,0.0,0.068590164,0.0,2.92e-05,0.005510966,0.0,0.001181285,0.349377314,0.063079198,0.216770808,71.8
58,103.7735986,1.298266138,126.0,6499.0,66.5,1.0,0.0,0.119807561,0.001899719,0.00082461,0.010837555,5.28e-05,0.003798803,0.138342539,0.211285273,0.270968119,73.6
59,103.7734133,1.298156876,125.0,5795.0,72.7,0.0,0.0,0.144858678,0.000310898,2.61e-05,0.004512787,0.0,0.002485911,0.128878276,0.088403702,0.303314845,71.5
60,103.7732731,1.298073741,120.0,5243.0,75.1,0.0,0.0,0.216386159,0.0,8.58e-05,0.007314682,2.1e-05,0.002560298,0.150754929,0.021388372,0.27477773,68.6
61,103.773121,1.297935975,122.0,5909.0,72.5,0.0,0.0,0.02783076,5.15e-05,0.000775655,0.009817759,0.0,0.000340144,0.367218018,0.050095876,0.227432251,62.8
62,103.7730046,1.297769707,120.0,6696.0,70.6,0.0,0.0,0.013043086,0.001051585,0.001167297,0.008506139,0.0,0.000895182,0.252857844,0.014502843,0.298018138,61.7
63,103.7729547,1.297650943,117.0,6040.0,68.5,0.0,0.0,0.016213099,2.54e-06,0.000413895,0.002069473,0.0,0.00057284,0.376927058,0.052101771,0.258163452,62.1
64,103.7728953,1.297465672,117.0,6320.0,67.8,0.0,1.0,0.006135941,7.12e-05,0.000172933,0.00245285,0.0,6.61e-05,0.328116099,0.184251785,0.251155217,60.8
65,103.7727979,1.297311279,116.0,5869.0,67.3,0.0,0.0,0.0003287,5.21e-05,0.0,0.003472646,0.0,1.27e-06,0.368270238,0.134634654,0.212163925,59.5
66,103.7726886,1.297164012,115.0,5886.0,68.0,0.0,0.0,0.002810796,0.000762304,0.001551946,0.003781001,0.0,0.00013415,0.558335622,0.077674866,0.026745478,58.8
67,103.7725603,1.297000119,115.0,6240.0,73.4,0.0,0.0,0.022445679,0.000113169,6.36e-07,0.001331329,0.0,8.96e-05,0.539857864,0.106633504,0.013447444,57.9
68,103.7724677,1.29688373,116.0,5616.0,72.4,0.0,0.0,0.058641434,0.0,0.0,0.00070254,0.0,0.000232697,0.503492991,0.051668803,0.029054642,55.5
69,103.772337,1.296734088,115.0,5542.0,69.5,0.0,0.0,0.013310115,0.0,0.0,0.004749298,0.0,0.001515706,0.56181399,0.100477854,0.002796173,53.4
70,103.7722253,1.296743589,114.0,4520.0,69.0,0.0,0.0,0.003130595,3.18e-06,0.0,0.000506719,0.0,7.63e-06,0.493224462,0.162597656,0.040964127,52.3
71,103.7721042,1.296781594,115.0,3019.0,68.9,0.0,0.0,0.012599945,0.0,0.0,0.000256856,0.0,6.36e-07,0.569734573,0.081311544,0.02022934,51.4
72,103.7719854,1.296836225,112.0,1593.0,69.2,0.0,0.0,0.150047302,6.61e-05,0.000440598,0.008167903,0.0,0.000308355,0.342782338,0.056686401,0.005338669,51.7
73,103.7718523,1.296945487,109.0,1089.0,61.3,0.0,0.0,0.123458227,0.0,0.001609802,0.005016963,0.0,0.000108719,0.401381175,0.125528971,0.108455022,52.5
74,103.7717098,1.297052375,108.0,621.0,64.5,0.0,0.0,0.068283081,6.36e-07,3.81e-06,0.002048492,0.0,5.09e-06,0.462731043,0.12595431,0.001218796,52.1
75,103.7716171,1.29718539,109.0,669.0,52.5,0.0,0.0,0.623338064,0.0,0.0,0.003601074,0.0,1.14e-05,0.115931829,0.004288356,0.014814377,52.5
76,103.771534,1.297346908,108.0,1069.0,50.0,0.0,0.0,0.770496368,0.0,0.0,0.000581106,0.0,0.0,0.049355189,6.42e-05,0.0,52.0
77,103.7714413,1.297529804,107.0,2377.0,49.0,0.0,0.0,0.560316722,0.0,0.0,0.003291448,0.0,3.12e-05,0.232278824,0.0,0.01334699,52.0
78,103.7712536,1.29762719,106.0,3204.0,42.2,0.0,0.0,0.555912018,0.000175476,0.005839666,0.000320435,0.0,3.75e-05,0.078170141,0.012964249,0.017831802,52.0
79,103.77094,1.297703199,107.0,2845.0,60.5,0.0,0.0,0.498025894,0.048426946,0.000402451,0.001992544,0.0,0.000119527,0.114337921,8.84e-05,0.037448883,52.0
80,103.7707737,1.29757731,109.0,401.0,65.6,0.0,0.0,0.717082342,0.0,0.0,0.000960032,0.0,0.001314163,0.044775645,2.1e-05,0.0,52.0
81,103.7706786,1.29732078,107.0,466.0,64.8,0.0,0.0,0.546446482,0.000178019,0.000235875,0.003750483,0.0,5.79e-05,0.076241811,0.022009532,0.098608653,52.0
82,103.7705432,1.297149761,107.0,273.0,69.6,0.0,0.0,0.586514155,0.008408229,0.0,0.0027771,0.0,0.000165939,0.064989726,0.004042308,0.006439845,50.0
83,103.7703816,1.297133134,107.0,161.0,69.1,0.0,0.0,0.648444494,0.0,0.0,0.006628036,9.54e-06,0.000128428,0.096077601,0.0,0.052597682,50.0
84,103.7703151,1.297040498,106.0,99.0,69.3,0.0,0.0,0.571059545,5.09e-06,0.000906626,0.003475825,0.0,0.000314713,0.098469416,1.4e-05,0.031287511,50.0
85,103.7702914,1.296973991,105.0,133.0,68.5,0.0,0.0,0.661730448,0.000158946,0.0,0.005121231,2.16e-05,0.001393636,0.14972496,0.017555873,0.001037598,50.0
